Index,user_id,created_at,content,like_num,repost_num,comment_num,manually_label,sentiment_baseline,senti_by_refined_snownlp,senti_by_jieba_sentiment
10289,2670985301,2020-02-08 23:52,抗击疫情 我们誓死不退（祝洛东）  #武汉加油##抗击新型肺炎我们在行动##抗疫行动##万众一心抗击新冠肺炎##致敬中国军人##医护人员离开医院时不会携带病毒##军旅菌[超话]##希望以后的日子都是甜的# 军旅菌的微博视频,6,0,0,1,1,1,1
33252,5622277724,2020-03-06 23:22,#甘肃新增17例境外输入新冠肺炎# 又来[费解]晕死真的是,1,0,1,0,-1,-1,1
15869,5936449524,2020-02-15 23:54,#新冠肺炎已开始在日本流行# 我靠,0,0,0,0,0,0,1
14422,2211096821,2020-02-13 23:59,日本再确诊1例新冠肺炎病例 总确诊数已达251例 http://t.cn/A6hGfqoZ,0,0,0,0,-1,-1,1
23309,6303064815,2020-02-23 23:59,//@微博辟谣:#微博辟谣# 金银潭医院：军运会五外籍运动员患的都是疟疾，与新冠肺炎无关,0,0,0,0,1,-1,1
28245,5671593372,2020-02-29 23:49,#韩国新冠肺炎累计3150例#拜托平安🙏🏻,0,0,0,1,-1,-1,-1
35010,1344576190,2020-03-08 23:01,智慧城市建设的“疫考”答卷：梳理9大方面的运行实践（遴选公选笔试面试素养积淀）http://t.cn/A673fgda。自2012年试点工作开展以来，我国智慧城市建设覆盖了政务、交通、产业、科技、教育、医疗、社会治理、公共服务等领域。在此次抗击新冠肺炎疫情中，有些智慧城市建设得比较好，发挥了重要作用。总体上说，近年来以智慧政府、智慧社会和数字经济为重点，我国在城市信息基础设施方面的投入和升级改造力度不断加大，同时各城市信息化服务水平和市民信息化素质明显提升，这些投入和积累，在打破疫情信息封锁、促进国家决策形成、改进督促地方作风等方面发挥了关键作用，同时也为非常时期的资源调配、医疗救护和生活保障提供了有力支撑。▲附：中央遴选事非经过不知难，考分低的考生建议静下心来听听刘源老师真题解析，2021重整行装再出发▲中央遴选真题解析免费课视频300分钟（2019年11月解析2019真题12月解析2020真题）http://t.cn/A67HIkrs。▲2021年度中央机关遴选公务员笔试长线班辅导方案（《案例分析一科（B类）》高强度、过程式、个性化服务，适用于一级主任科员及以下职级公开遴选（含面向选调生）职位） http://t.cn/A67QSXRI。,1,0,0,0,1,1,1
3638,3174995907,2020-01-28 22:28,#万众一心抗击新冠肺炎#尽量别出门，出门口罩别忘戴，回家洗手是第一！愿大家都平安～[抱抱][抱抱]中国消防的秒拍视频,0,0,0,1,0,-1,1
12603,5375603707,2020-02-11 23:57,【#一位新冠肺炎治愈患者的15天心路历程#：从恐慌到喜悦】#万众一心抗击疫情#“从抵达病房，再从疑似-确诊-康复-出院，从情绪失落到几近崩溃，到有些舍不得这里的医护人员…”近日，内蒙古二连浩特市首例新冠肺炎患者出院后，写了一封感谢信。除了对医务人员表达深深的感激之情外，还讲述了她从恐慌畏惧，到坚持坚强，再到治愈后喜悦的心路历程↓↓@人民网内蒙古频道http://t.cn/A6hAGOda,2,0,4,1,1,1,-1
19001,6043112342,2020-02-19 23:26,【息县新闻】金平主持召开全县新冠肺炎疫情防控期间重点工作专题会 息县融媒的微博视频,0,0,0,0,0,-1,1
21816,1494911135,2020-02-22 23:25,//@大道广法123: //@中医邹磊:和中医厅长刘维忠前期铺垫大有关联，可是全国仅此一家店绝无分店，可悲。#后鸦片战争时代# #中医抗击新冠肺炎#,2,2,1,-1,1,1,1
5686,5435882101,2020-01-30 23:59,湖北松滋市委书记黄祥龙疑似感染新冠病毒肺炎，目前正在救治，1月20日曾公开露面&gt;&gt;http://t.cn/A6PoqSsx 湖北松滋市委书记黄祥龙疑似感染新冠病毒肺炎，目前正在救治，1月20日曾公开露面,5,0,0,0,1,-1,-1
19223,7051224031,2020-02-19 23:34,#懂球帝# 钟南山与哈佛大学合作，成立新冠肺炎科研攻坚小组  今天10时，钟南山院士及其团队在广州与哈佛大学医学专家再次进行了视频会议，就新冠肺炎快速检测诊断、临床救治、药物筛选、疫... http://t.cn/A6hOOC8q（分享自@懂球帝）,0,0,0,0,1,-1,1
21302,6291858077,2020-02-21 23:50,#武汉又一位医生因感染新冠肺炎离世#真的很痛心，再次向一线的医护人员致敬！[心]你们是时代的英雄！,1,0,0,1,1,1,-1
17365,7006200464,2020-02-17 23:39,潍医附院解除医务人员医学观察 医务人员无感染          因确诊患者张某芳隐瞒接触史和出行史（公安机关已立案侦查），致我院68名人员隔离进行医学观察。目前，医学观察期满，留观者两次核酸检测阴性，无肺炎症状体征，无影像学肺炎改变，按国家新冠肺炎医学观察标准，全部解除观察，医务人员无感染。          感谢社会各界对我院及医务人员的关心和支持！我们将不负希望和期待，坚决打赢疫情防控阻击战！  潍坊医学院附属医院    2020年2月17日,0,0,0,0,1,-1,1
5879,1294760181,2020-01-31 23:42,//@姚晨:求助：谁能帮帮这位即将临盆的产妇？🙏//@南国的大婴儿://@战争史研究WHS:博主妻子怀孕38周+，出现感染新冠肺炎症状。可接收的医院无产房，有产房的医院无法接收。请武汉的朋友帮问下哪家医院可以接收。谢谢了[鲜花][鲜花][鲜花]祝平安！！,0,0,0,1,1,-1,-1
23109,5280557418,2020-02-23 23:54,#黄文军医生感染新冠肺炎去世#一路走好[蜡烛],1,0,0,-1,1,1,-1
17023,1748084660,2020-02-16 23:57,#武汉公布非新冠肺炎患者接诊医院#,0,1,0,0,-1,-1,-1
23399,5559227970,2020-02-24 23:33,#台湾新冠肺炎确诊病例增至30例#活该报应，放心我们口罩丢进下水道也不给呆湾,27,0,0,-1,-1,-1,-1
22913,6082872068,2020-02-23 23:48,中科院最新研究：华南海鲜市场并非新冠病毒发源地。 #钟南山说当务之急要鉴别流感和新冠肺炎##中国首款可重复使用口罩# [组图共2张],1,0,0,0,1,0,1
27862,5541405531,2020-02-29 23:36,#警方打掉披着果皮的赌博窝点#【逛“水果店”的人只进不出？ 常州警方打掉“披着果皮”的赌博窝点！】新冠肺炎疫情发生后，棋牌室、洗浴休闲、老年活动室等非生活必需公共场所均关停，但仍有部分人员存有侥幸心理，以小超市、水果店等允许开业的场所为据点进行赌博活动。常州市五星派出所通过视频巡查加强此类场所的管理。意外发现一水果店进出异常，只进不出！五星派出所高度重视，通过侦查成功捣毁一位于水果店内的赌博窝点。http://t.cn/A67fwYoj,2,0,2,0,1,-1,-1
6155,1632709034,2020-02-01 23:24,[心],0,0,0,1,0,0,0
27911,3212648071,2020-02-29 23:37,#日本新冠肺炎感染者945人#游轮上的人都被接走还统计在内吗？[摊手] 天津 显示地图,0,0,1,-1,-1,0,1
28695,6665859867,2020-03-01 23:26,#确诊患者私自出院散步发视频炫耀##新冠肺炎确诊患者私自出院散步发视频炫耀#向这样的一针打死算了留着害人不知死和的东西 确诊患者私自出院散步发视频炫耀，对于这种人应该如何处罚?,0,0,0,-1,-1,-1,-1
11319,1700087532,2020-02-09 23:57,#湖南防控新型肺炎#【共同战“疫”丨湖南省对口支援湖北黄冈市】9日晚，记者从湖南省卫生健康委获悉，国家卫生健康委办公厅今日下发文件明确，湖南省和山东省对口支援黄冈市。 《通知》要求，支援省份通过组派支援队，增加医护和疫情防控力量，帮助相关地市切实落实“早发现、早报告、早隔离、早治疗”，保障防治服务供给，加强医疗救治和疫情处置能力，提高收治率、治愈率。按照“集中患者、集中专家、集中资源、集中救治”的原则，着力做好重症患者医疗救治，加强院内感染控制，进一步降低病死率、感染率。 据悉，目前我省已派出2批支援湖北黄冈医疗队，共274名医护人员在黄冈开展救治工作。湖南省卫生健康委表示，将尽快制定具体的对口援助方案，进一步支持黄冈市新冠肺炎疫情防治工作。（记者   段涵敏  李琪）#抗击新冠肺炎 湖南在行动#,3,1,6,1,1,-1,1
19108,1913366611,2020-02-19 23:30,【#钟南山回应新冠肺炎药物使用# 只要发现它有效果，就应该可以用它】钟南山介绍：磷酸氯喹现在不是特效药，但是是一个有效药。你只要发现它有效果的话，就应该可以用它。在面对一个从来没有遇见过的病的时候，我们要做一些实践，摸着石头过河，只要是一种药用了以后没有害处，那就可以尝试。 http://t.cn/A6h0FJCj,0,0,0,1,1,1,1
25527,6178333952,2020-02-26 23:50,#中国境外新增新冠肺炎病例超过中国境内#现在想想要是疫情发生在国外会怎样？我们能倾全国之力，共同抵抗疫情才取得现在的局面，其它国家抄作业都抄不好，后面的疫情发展我有点不敢想！,1,0,0,1,1,1,-1
18377,5171443308,2020-02-18 23:42,//@环球网:[围观],0,0,0,0,0,0,0
29400,6857247517,2020-03-01 23:56,#关注新冠肺炎# 【点,1,0,0,1,1,0,1
31780,6601131493,2020-03-04 23:43,【武警官兵协助搭建治愈人员隔离点】随着越来越多的新冠肺炎患者治愈，武警湖北总队武汉支队官兵积极协助武汉地方部门，第一时间整理出150间隔离房。（军事报道） 央视军事报道的微博视频,1,0,0,0,0,-1,-1
16900,1737486711,2020-02-16 23:55,【央视网评】请“砖家”慎开“金口”       对上海新闻发布会上专家认定“新冠肺炎传播途径包括气溶胶传播”印象深刻。 【央视网评】请“砖家”慎开“金口”,0,0,0,0,1,-1,1
