,_id,crawl_time,nick_name,gender,province,city,brief_introduction,birthday,vip_level,tweets_num,follows_num,fans_num
0,1789413893,1583816648,v1016v,女,河南,焦作,自爱、沉稳、而后爱人,1992-10-16,未开通,205,62,107
1,5713325813,1583816658,夕九Florence1996,女,江苏,null,此地一为别，孤蓬万里征,1996-08-10,6级,21158,362,160
2,2067450395,1583816649,我的肚子有三层肉,女,海外,马耳他,在我面前 你把全世界藏起来了,01-01,未开通,1388,1137,375
3,1711539767,1583816664,成都电台经典946,男,四川,成都,成都人民广播电台文化休闲频道-经典946是一个紧扣“经典音乐”，以“文化沉淀”和“休闲生活”两大主题的高端经典音乐广播频道，经典946精确定位25-55岁之…,2005-09-04,未开通,5337,437,62097
4,5182129325,1583816655,木么鸽子,女,湖南,湘潭,但行好事，莫问前程。🌸,处女座,1级,487,46,41
5,1647763130,1583816664,小哈奇奇宝宝,女,福建,泉州,寻梦,1987-11-08,未开通,10,164,67
6,5646662796,1583816657,草没味草莓,女,天津,和平区,只关宋茜，无关风月,1990-12-24,2级,584,60,43
7,2589966571,1583816665,Sweety-Sweetygirl,女,吉林,吉林,关注我的长得都好看。,处女座,未开通,880,1518,332
8,5217497671,1583816655,中二少年madao,女,海外,巴西,及时行乐，带入地狱,1991-06-05,未开通,419,51,65
9,5232064590,1583816654,青灯为墙梦为马,女,山东,null,"一望可相见,一步如重城。所爱隔山海，山海不可平",天蝎座,3级,1297,500,124
10,1925056861,1583816649,jinyi惜,女,辽宁,大连,喜欢日本动漫的加我哦,01-01,未开通,2573,698,176
11,5680382620,1583816658,lbw-sunny,男,四川,成都,我希望你心里有阳光，温暖自己，也温暖他人。,2005-02-01,未开通,60,308,94
12,5721086953,1583816658,布丁要运动噢,女,海外,其他,活在当下，乐观向上,狮子座,未开通,551,335,120
13,3772315600,1583816653,July_唤,女,上海,null,生活就是要激情满满！,1988-11-16,未开通,807,1014,264
14,2631557680,1583816651,深圳君臣,男,广东,深圳,信言不美，美言不信。,01-01,5级,1727,315,13202
15,6390466159,1583816668,灰姑凉0323,女,其他,null,记录一个在婚姻中对幸福婚姻渴望，却求而不得的女人婚姻及人生走向。,null,未开通,52,28,9
16,5325098653,1583816657,lonecey,男,北京,东城区,各有姻缘莫羡人,1996-01-01,1级,8867,1470,378
17,5931376514,1583816658,小路同学Rd,女,河南,null,弯路的终点是幸福的彼岸,天秤座,1级,854,205,207
18,2649701444,1583816665,El79,男,广东,广州,失败是坚忍的最后考验。——俾斯麦,1979-05-01,未开通,3890,59,64
19,1399245631,1583816646,混口饭吃的阿拉丁,男,海外,null,不要等待风暴过去，而要学会在雨中曼舞。,null,2级,2430,926,10176
20,1704939420,1583816647,今聊,女,北京,朝阳区,致2020:过好日子。,0001-00-00,未开通,1938,161,176
21,2808311662,1583816651,shanyu张,女,福建,漳州,梦太多，被时间追赶着,0001-00-00,未开通,308,101,55
22,2669892924,1583816665,_LaplAnd_,女,四川,成都,做最好的【自己】。,狮子座,未开通,5,164,26
23,2820496447,1583816651,小小桃核酱,女,山东,威海,eudemonia﹉ ✪ω✪❤,1900-01-30,未开通,686,706,201
24,5587407965,1583816658,辣爆视频,男,黑龙江,null,图文不符是本博特点，不喜勿喷。,null,5级,2673,229,225035
25,3936409754,1583816653,浔一,女,广东,广州,平和、包容、做力所能及的事,1995-01-04,未开通,310,265,161
26,2156882244,1583816650,香香儿啊啊啊啊啊,女,浙江,杭州,大城市中的微小人~~~,01-01,未开通,3912,1212,402
27,1683776904,1583816664,arrow76,女,北京,延庆区,凡事不能两全 想得到的太多 最后可能什么都得不到,0001-00-00,未开通,11339,208,776
28,5164542969,1583816655,Bohemian_D在学意大利语,男,北京,通州区,Those who sow in tears shall reap in joy.,1989-01-01,未开通,6000,644,775
29,2022364304,1583816649,浔阳晚报,男,江西,九江,"《浔阳晚报》创办于1996年10月，九江地区唯一晚报，主流媒体！ 新闻报料热线：8530000（新闻爆料、投诉维权、商家加盟） 重奖新闻线索,提供线索一经见报最高奖励3000元！！！",01-01,未开通,81550,1286,317427
30,3607277155,1583816653,蘇老師不存在,男,北京,海淀区,兽见之皆走，狐不知兽畏虎也，以为畏己也,1900-10-10,未开通,43539,765,370
31,5447326327,1583816656,英拉0722,女,北京,西城区,今天是你余生的第一天，会做什么？,1984-11-27,2级,673,192,43
32,2856315750,1583816652,一个老母亲罢了,女,广东,null,只等一个奇迹。五个人的演唱会没有了，前Id:jaekissuknow,1994-01-01,1级,23474,786,329
33,2163417693,1583816651,四十forty肆拾,男,其他,null,合适自己的方法才是最可靠的。,0001-00-00,5级,13566,309,6696
34,7041985507,1583816668,成都故事广播,男,四川,null,每个人都有故事，每个人都是故事,2016-06-30,未开通,1351,27,121
35,2649461831,1583816650,伴我暖sunine梨渦Girl,女,广东,深圳,我們每天都和自己相處，總會忘記最初的自己⋯,null,未开通,843,256,416
36,3295362810,1583816652,李喜猫,女,海外,加拿大,1只铲屎官和12只猫咪的幸福生活,null,7级,22605,959,1813028
37,1904355067,1583816666,珠海青年,女,广东,珠海,有料有趣有温度…,null,未开通,5394,269,19096
38,3894667584,1583816653,土味视频十级爱好者兼鉴土达人,女,四川,成都,魔法少女队队长,1995-10-20,6级,2452,347,440
39,5461398650,1583816656,肥猫少女一3一,女,其他,null,【大龄少女的吃喝玩乐日常】看看小说，睡个懒觉，吃吃喝喝，如果下雨就更好啦！,巨蟹座,3级,3070,238,259
40,2026966162,1583816649,H-3M,男,北京,null,活的精彩結尾，切勿流眼淚。,01-01,未开通,3924,498,1970
41,5688550287,1583816658,YBFQXX521,女,辽宁,抚顺,我不漂亮，不聪明，但是我很善良。很真实，做自己，独一无二的自己。,1985-05-16,未开通,228,197,40
42,5476477921,1583816656,台湾热点视频,男,广西,null,台湾热点视频博主,1990-06-26,4级,25256,1859,169484
43,1680731604,1583816647,wendy荻荻,女,湖北,武汉,86年生天蝎虎妞！,1986-11-05,6级,16626,164,314
44,2696857723,1583816651,瓜尖太郎,女,云南,西双版纳,如果注定，便一定会发生。,0001-00-00,未开通,870,301,242
45,6080262519,1583816660,性感啵神,女,北京,null,性感迷人少女美女大奶妹,水瓶座,5级,19737,2347,106963
46,2139663952,1583816650,葱花儿炒蛋儿,女,浙江,杭州,阿中哥哥死忠粉👌  易先生小迷妹❤️ Eddie的麻麻粉💚,双鱼座,2级,364,285,200
47,2480166884,1583816664,卓尔控股,男,湖北,武汉,卓尔控股有限公司是中国企业500强，专注于投资高端制造业、现代服务业等实体经济领域，为卓尔智联、汉商集团、华中数控、中国通商集团、兰亭集势5家上市公司和武汉众邦银行的第一大股东。曾获“全国创先争优先进基层党组织”、“中华慈善奖”、“全国就业与社会保障先进民营企业”、“全国‘万企帮万村’精准扶贫行动先进民营企业”等荣誉，卓尔控股董事长阎志入选“改革开放40年百名杰出民营企业家“名单。,null,未开通,731,27,8669
48,2697610013,1583816666,军令部长,男,浙江,宁波,在苏联的军队里，撤退比前进更需要勇气,1996-06-02,6级,26573,425,5045595
49,6731405690,1583816662,子道居士瑞,男,重庆,武隆县,未来将属于两种人：思想的人和劳动的人。实际上，这两种人是一种人，因为思想也是劳动。,1997-03-18,未开通,255,426,14
50,2765767247,1583816651,RY不愚,女,海外,马来西亚,我想要的人生，是与我的努力相对等的人生。 ——钟汉良说的 我一直在努力💪,1988-10-01,1级,6714,31,110
51,1831891201,1583816649,甘南之北,男,甘肃,甘南,一个心态很好的人，爱旅行，爱尤文，爱皮队，爱学友。不爱学习……,1988-12-31,未开通,13609,504,1543
52,1330740004,1583816646,求真先生,男,安徽,null,风声雨声读书声声声入耳，家事国事天下事事事关心。,1980-03-25,6级,9231,550,13717
53,1770371755,1583816648,囡囡自然卷,女,江苏,常州,"我就是我，是颜色不一样的烟火。 天空海阔，要做最坚强的泡沫！ Lapland,my dream~",1990-11-10,2级,1463,260,475
54,2990504022,1583816651,古月公子cherub,女,北京,东城区,你这么厉害怎么不去青青草原上抓羊啊……,1989-05-14,1级,4286,459,175
55,1677589154,1583816646,i笔丽,男,江苏,常州,会有那么一天 我的愿望都会实现,1991-06-25,未开通,10725,394,834
56,2164096520,1583816666,成都交通文艺广播,女,四川,null,成都交通文艺广播FM91.4，您身边的服务专家。,01-01,未开通,9126,270,49332
57,2830040660,1583816666,大太阳丶CL,男,湖北,武汉,～,1993-07-05,4级,411,251,595
58,1738003367,1583816647,欧嘉桦的一些事一些情,男,广东,佛山,"欢欣结局少中更少,强硬去活得开心变成毕生信仰.",处女座,未开通,34535,279,712
59,5523250573,1583816657,长白未央,男,江西,上饶,人一定要有目标要有理想争取做海里的鲨鱼不要做家里的死鱼天天躺在床上玩手机,1998-07-01,未开通,18,290,115
60,6544686398,1583816668,圣天三土sty,男,北京,null,湖北省作家协会会员，高级康复理疗师，作品《我家有个神仙姐姐》、《云梦泽》等,天秤座,5级,167,150,111701
61,1880647562,1583816649,长征后卫薛伯陵,男,其他,null,航运七字党，天佑大远洋。善思，勤奋，敬业，担当。,摩羯座,6级,34802,2313,8028692
62,1747607921,1583816648,柚梅玉子烧,女,其他,null,幸村本命；OA控比不可逆；剧团万年蹲；柚梅西皮一生推；二次二点五次三次精分混乱；偶尔刷屏偶尔文艺,双子座,3级,100824,849,598
63,1793162927,1583816648,Grace若水,女,其他,null,null,null,3级,4392,1092,709
64,1449531193,1583816646,刨丁解羊,男,北京,null,庖丁解牛，被抢注了 先秦·庄周《庄子·养生主》：“庖丁为文惠君解牛，手之所触，肩之所倚，足之所履，膝之所踦， 砉然向然，奏刀騞然，莫不中音。”,null,未开通,11732,1433,1955
65,6072450957,1583816667,丘奈,男,其他,null,null,null,未开通,789,167,70
66,7339096067,1583816663,朵三三三,女,北京,null,Isar国际占星协会认证职业占星师，国家心理咨询师三级，德国慕尼黑大学文学硕士。占星师、塔罗师从业五年，擅长情感恋爱咨询。,1900-03-20,2级,229,83,58232
67,6361407389,1583816667,IKONIC098,女,其他,null,null,null,未开通,992,300,84
68,5508107981,1583816657,挽青99412,男,其他,null,null,null,未开通,384,149,24
69,6823889540,1583816662,用户6823889540,女,广东,null,null,null,未开通,21,17,1
70,5489792931,1583816656,魔王本王,男,其他,null,null,null,未开通,969,280,200
71,6415395838,1583816661,卡卡6415395838,女,江苏,null,null,null,未开通,50,92,12
72,6059235590,1583816668,星崽崽的小卫星肖恩,女,北京,null,null,null,5级,8686,521,397
73,6524519819,1583816662,用户6524519819,男,其他,null,null,null,未开通,294,51,1
74,5455545773,1583816657,韭精的自我修养,女,海外,null,null,null,未开通,3745,1095,267
75,7254540775,1583816668,微微6911,女,其他,null,null,null,未开通,5,97,1
76,6377813883,1583816661,深圳壹周刊,男,广东,null,欢迎投稿。凝聚正能量，传递好声音。,1990-10-06,5级,2499,1520,249626
77,2239455453,1583816651,wbbkzy,男,河北,邯郸,null,null,未开通,79,110,19
78,6408819031,1583816660,PDXxka,女,吉林,松原,null,null,未开通,444,194,72
79,5904656443,1583816659,ringer520,女,浙江,温州,null,null,未开通,124,510,42
80,1849910474,1583816649,金融项目深度分析,男,其他,null,揭秘币圈、盘界丨套路丨黑幕丨骗局！维护散户权益！ 微信公众号：金融项目深度分析,null,6级,954,242,38042
81,5913909461,1583816667,李振洋的嘴,女,山东,null,null,2000-01-27,1级,171,207,90
82,1848741464,1583816648,-jason55-,男,北京,null, ,null,5级,823,2257,683
83,6048517380,1583816667,五有四,女,黑龙江,哈尔滨,null,null,未开通,94,117,50
84,5818671440,1583816658,青岛吃喝玩乐榜,男,山东,青岛,我是榜哥，专门分享青岛的吃喝玩乐+攻略！有事爆料、求助，请发微博艾特，欢迎骚扰。😄,null,3级,5009,119,538852
85,1253720480,1583816646,谈典看法,男,四川,成都,前法官，新浪微博2019十大影响力法律大V，全国首个微信诉讼服务平台创始人。,01-01,6级,7355,544,12646027
86,5668450638,1583816666,ydsdsh_,女,山东,null,null,2017-03-30,1级,268,227,50
87,5848525244,1583816660,小可爱511721,女,山东,菏泽,null,null,未开通,4,237,19
88,2792550404,1583816652,竹光沫雪,女,其他,null,null,0001-00-00,未开通,1391,133,105
89,6280577193,1583816660,走马观花A11,女,其他,null,null,1999-01-26,未开通,32,89,38
90,6591243331,1583816662,竞哥哥48950,女,其他,null,null,2017-09-16,未开通,60,80,2
91,6615103897,1583816668,所有的云都跑到我这里201807,男,其他,null,null,null,未开通,16,85,9
92,7277349700,1583816663,妞妞哈哈兔,女,其他,null,null,天秤座,未开通,164,267,14
93,1747976397,1583816648,老屁孩9998,男,上海,null,null,null,未开通,9432,416,823
94,6972626239,1583816662,龙翰凤翼819,男,江苏,null,null,1980-10-01,未开通,41,161,35
95,7325749747,1583816663,木锦棉2020,女,江苏,null,null,1995-08-25,未开通,132,33,2
96,5093606220,1583816653,妖魔鬼怪小白菜,女,其他,null,狮子座的姑娘，老喜欢无忧无虑的发呆…没有清丽的外表，没有一颗七窍玲珑心，不是汉子，可总有人把我当作是汉子。声控，第一映象控,摩羯座,未开通,596,98,118
97,6312673402,1583816660,浪迹天涯待我幼稚完530,女,江苏,扬州,null,null,未开通,120,245,65
